chunk_id,theta_deg,phi_deg,M,gmin_Ainv,r_mrad,inner_ring
event://0,178.46,139.77,1,49.6338,283.37,0
event://2,4.14,270.06,0,inf,inf,0
event://1,2.60,270.03,0,inf,inf,0
event://3,173.78,89.99,0,inf,inf,0
event://4,172.04,89.98,0,inf,inf,0
event://6,11.85,270.01,0,inf,inf,0
event://5,170.18,89.94,0,inf,inf,0
event://7,165.98,90.00,1,46.7851,267.11,0
event://8,15.69,270.03,0,inf,inf,0
event://9,17.59,270.01,0,inf,inf,0
event://11,21.45,270.03,0,inf,inf,0
event://10,160.27,90.00,0,inf,inf,0
event://12,23.61,270.11,0,inf,inf,0
event://15,150.59,89.97,1,46.8073,267.23,0
event://13,154.40,89.95,0,inf,inf,0
event://14,27.35,270.02,0,inf,inf,0
event://16,148.65,89.94,0,inf,inf,0
event://17,33.38,270.28,0,inf,inf,0
event://18,144.44,89.92,0,inf,inf,0
event://19,142.64,89.85,0,inf,inf,0
event://20,39.40,269.85,1,46.9375,267.98,0
event://23,2.60,270.03,0,inf,inf,0
event://21,41.17,269.86,0,inf,inf,0
event://22,136.70,90.08,0,inf,inf,0
event://24,175.37,89.37,0,inf,inf,0
event://25,173.92,88.42,0,inf,inf,0
event://26,173.52,91.06,0,inf,inf,0
event://27,8.05,271.11,0,inf,inf,0
event://28,170.12,90.18,0,inf,inf,0
event://30,165.95,90.41,0,inf,inf,0
event://29,168.05,90.02,1,48.6496,277.75,0
event://32,17.74,269.71,1,50.6866,289.38,0
event://31,164.20,90.30,0,inf,inf,0
event://33,160.27,89.93,0,inf,inf,0
event://34,158.24,90.01,0,inf,inf,0
event://35,23.62,269.81,1,49.8753,284.75,0
event://37,152.42,90.14,0,inf,inf,0
event://39,31.52,269.64,0,inf,inf,0
event://36,154.25,90.05,0,inf,inf,0
event://38,29.56,269.74,0,inf,inf,0
event://40,33.36,269.87,1,46.4735,265.33,0
event://41,35.50,269.71,0,inf,inf,0
event://48,174.45,88.70,0,inf,inf,0
event://47,6.06,271.74,0,inf,inf,0
event://46,175.86,90.06,0,inf,inf,0
event://49,172.52,85.41,0,inf,inf,0
event://42,142.58,89.98,0,inf,inf,0
event://45,136.71,90.02,0,inf,inf,0
event://44,41.32,269.93,0,inf,inf,0
event://43,140.66,90.05,0,inf,inf,0
event://50,170.81,92.28,0,inf,inf,0
event://51,10.50,269.24,0,inf,inf,0
event://52,12.48,269.75,1,48.1648,274.98,0
event://54,163.81,89.64,2,44.7207,255.32,0
event://53,165.75,90.15,0,inf,inf,0
event://58,156.23,90.00,0,inf,inf,0
event://56,19.95,270.00,2,49.2107,280.96,0
event://59,25.82,269.97,0,inf,inf,0
event://57,158.12,89.76,0,inf,inf,0
event://55,161.94,90.17,0,inf,inf,0
event://60,152.23,90.17,1,50.2516,286.90,0
event://61,150.28,90.27,0,inf,inf,0
event://62,31.70,270.13,0,inf,inf,0
event://63,33.59,270.21,0,inf,inf,0
event://64,144.39,89.93,0,inf,inf,0
event://66,140.64,89.91,0,inf,inf,0
event://65,37.38,270.06,0,inf,inf,0
event://67,41.34,270.11,0,inf,inf,0
event://69,173.78,89.99,0,inf,inf,0
event://71,172.44,95.14,0,inf,inf,0
event://72,9.39,269.75,0,inf,inf,0
event://68,136.67,90.20,0,inf,inf,0
event://70,6.48,269.01,0,inf,inf,0
event://73,9.58,266.43,0,inf,inf,0
event://74,10.97,269.26,1,50.5838,288.79,0
event://75,166.84,89.89,0,inf,inf,0
event://76,14.79,269.66,0,inf,inf,0
event://79,159.42,89.95,0,inf,inf,0
event://77,163.54,89.83,1,50.0683,285.85,0
event://78,161.41,89.95,0,inf,inf,0
event://80,157.80,90.31,0,inf,inf,0
event://82,26.34,270.13,0,inf,inf,0
event://81,155.77,90.26,0,inf,inf,0
event://84,150.33,90.34,0,inf,inf,0
event://85,148.03,89.89,0,inf,inf,0
event://86,33.86,270.11,0,inf,inf,0
event://83,151.98,89.89,0,inf,inf,0
event://87,144.43,89.75,0,inf,inf,0
event://95,170.37,94.28,0,inf,inf,0
event://90,41.41,269.92,0,inf,inf,0
event://91,136.62,90.00,0,inf,inf,0
event://88,37.62,269.98,0,inf,inf,0
event://89,39.58,269.82,0,inf,inf,0
event://92,7.96,269.98,0,inf,inf,0
event://94,170.82,87.77,0,inf,inf,0
event://93,171.94,88.92,0,inf,inf,0
event://96,168.84,91.04,0,inf,inf,0
event://97,13.22,267.49,0,inf,inf,0
event://98,165.52,90.46,1,47.1633,269.27,0
event://99,164.31,90.03,0,inf,inf,0
event://100,17.36,269.37,1,44.3733,253.34,0
event://102,158.99,89.96,0,inf,inf,0
event://101,18.99,270.11,1,49.8308,284.50,0
event://103,157.20,90.03,0,inf,inf,0
event://104,155.32,90.04,0,inf,inf,0
event://107,29.98,270.15,0,inf,inf,0
event://106,28.25,269.95,0,inf,inf,0
event://105,153.48,89.96,0,inf,inf,0
event://108,147.90,89.86,0,inf,inf,0
event://110,36.23,270.03,0,inf,inf,0
event://109,34.07,270.09,0,inf,inf,0
event://114,136.48,89.78,0,inf,inf,0
event://113,41.64,270.17,0,inf,inf,0
event://112,39.73,270.03,0,inf,inf,0
event://111,37.83,270.18,0,inf,inf,0
event://117,169.49,90.79,3,46.8307,267.37,0
event://115,9.82,269.94,0,inf,inf,0
event://116,9.82,270.11,0,inf,inf,0
event://120,166.42,89.88,1,48.9914,279.70,0
event://119,166.77,92.49,0,inf,inf,0
event://118,168.94,90.69,0,inf,inf,0
event://121,164.88,87.85,0,inf,inf,0
event://122,16.61,269.72,0,inf,inf,0
event://123,161.68,90.14,0,inf,inf,0
event://124,19.96,269.67,0,inf,inf,0
event://129,28.83,270.19,0,inf,inf,0
event://125,21.71,269.93,0,inf,inf,0
event://130,30.56,269.92,0,inf,inf,0
event://126,23.43,270.22,0,inf,inf,0
event://127,25.08,270.02,0,inf,inf,0
event://128,26.96,270.00,0,inf,inf,0
event://133,36.07,269.83,0,inf,inf,0
event://131,147.52,89.83,0,inf,inf,0
event://132,145.63,90.01,0,inf,inf,0
event://136,41.78,269.57,0,inf,inf,0
event://137,136.28,90.34,0,inf,inf,0
event://134,38.05,269.95,1,50.5463,288.58,0
event://135,39.76,269.96,0,inf,inf,0
event://138,11.85,270.01,0,inf,inf,0
event://144,163.63,90.15,0,inf,inf,0
event://139,11.95,269.98,0,inf,inf,0
