Event,Misorientation_deg
//3,2.999975265216038
//0,0.0
//1,1.0000634539964262
//2,2.000008182120782
//4,4.000040878304118
//6,5.999992052557774
//7,7.000029708489553
//5,5.000047153184916
//8,8.000031103969906
//9,9.00000152462776
//10,10.000013596116123
//11,10.999998682704076
//12,12.000001416631456
//13,13.000015582324487
//14,14.000001995455476
//15,15.000004303489764
//16,16.00000013211544
//17,17.000013086169297
//18,18.00001217151918
//19,19.00000923602775
//20,20.00000871861701
//21,21.00000928949632
//22,22.000005030473446
//23,23.00000370449142
//24,24.000007238569328
//25,24.999996662581665
//26,25.999997855690605
//27,26.999998772889015
//28,27.99999915626626
//29,29.000008550673105
//30,30.000003913526793
//31,31.000000352691305
//32,32.00000710587031
//33,33.00000331136835
//34,34.00000268954673
//35,35.00000161992123
//37,36.99999930541324
//36,36.00000433597818
//38,38.00000512406329
//39,39.000002269440174
//40,40.00000055726539
//41,41.000004922506925
//42,42.00000567060813
//43,42.999999732631395
//45,45.02106301692214
//47,18.688048074655452
//44,43.99999973684814
//46,26.650318814756645
//48,14.606460804328716
//49,12.377953529148622
//50,11.216643726621648
//51,10.740614301841228
//52,10.724541972954103
//53,11.019838358054466
//54,11.525605583955345
//55,12.173770201838414
//56,12.919027857677902
//57,13.731234269928944
//58,14.590402216189428
//59,15.483016170043165
//60,16.399859945100864
//61,17.334544048919195
//62,18.282575980547882
//63,19.240724381628617
//64,20.206646445998604
//65,21.178632967309955
//66,22.155386888407406
//67,23.135949107831173
//68,24.119541100376303
//69,25.10559476281029
//70,26.093690914364558
//71,27.083435976433297
//72,28.0745654361371
//73,29.066852806032834
//74,30.060110101620914
//75,31.05418831448395
//76,32.04896508607122
//77,33.04434695937133
//78,34.04023490296451
//79,35.036566186066814
//80,36.03328656314461
//81,37.03033776583316
//82,38.027679827304375
//83,39.025288874179104
//85,41.02115764346403
//84,40.023123531642504
//86,42.019368434762626
//87,43.017741028225046
//88,44.016257792896056
//89,45.08412747337702
//90,33.863327146789636
//91,26.90414819971462
//92,22.40702988144183
//93,19.426438449050764
//94,17.453745910626562
//95,16.194845355813307
//97,15.132709972283164
//96,15.463957065284221
//98,15.106460926729447
//99,15.313020900535598
//100,15.696796349817536
//101,16.21530804548078
//103,17.53549073967673
//102,16.83630164263645
//104,18.294661112737984
//105,19.100130261529564
//106,19.941632344653968
//107,20.81141424540657
//108,21.703513314695716
//109,22.613458229380925
//111,24.47360074544109
//110,23.537722957906226
//112,25.418968431379135
//113,26.372108658276
//114,27.331712398344767
//115,28.29670032856526
//116,29.26618760275248
//117,30.239474848102574
//118,31.215994742155647
//119,32.195267521079465
//120,33.1768885553255
//121,34.160548224376505
//122,35.14595445705262
//123,36.132887684866695
//124,37.12115805138243
//125,38.11058506564959
//126,39.10103926535091
//127,40.09239420594515
//128,41.08454649869034
//129,42.07741828610713
//130,43.07091469099483
//132,45.1888720683542
//131,44.064983782247985
//133,37.17556015052662
//134,31.45297939391827
//135,27.32079871839005
